anchor;positive;negative
131716.jpg;116802.jpg;055323.jpg
026297.jpg;016232.jpg;021908.jpg
016064.jpg;135542.jpg;199556.jpg
028290.jpg;009553.jpg;195633.jpg
144278.jpg;137658.jpg;056179.jpg
096501.jpg;037184.jpg;068463.jpg
036059.jpg;033060.jpg;074027.jpg
051386.jpg;159994.jpg;079915.jpg
173557.jpg;181730.jpg;168956.jpg
103735.jpg;147374.jpg;015396.jpg
111470.jpg;119141.jpg;009307.jpg
012338.jpg;034497.jpg;044207.jpg
002371.jpg;141412.jpg;186801.jpg
190658.jpg;193547.jpg;111803.jpg
068868.jpg;112121.jpg;160934.jpg
095142.jpg;002469.jpg;163382.jpg
095993.jpg;104706.jpg;159945.jpg
154323.jpg;058232.jpg;128921.jpg
021374.jpg;109871.jpg;032924.jpg
071463.jpg;124855.jpg;001907.jpg
135394.jpg;141681.jpg;153029.jpg
025727.jpg;072515.jpg;184664.jpg
057568.jpg;108424.jpg;036866.jpg
014404.jpg;054413.jpg;172355.jpg
160782.jpg;114485.jpg;006403.jpg
198697.jpg;196616.jpg;177674.jpg
148724.jpg;116318.jpg;093862.jpg
169330.jpg;180527.jpg;059639.jpg
006795.jpg;120503.jpg;195217.jpg
125721.jpg;062162.jpg;200102.jpg
087007.jpg;152888.jpg;151805.jpg
110750.jpg;071981.jpg;194475.jpg
161109.jpg;006765.jpg;004859.jpg
105714.jpg;123694.jpg;058397.jpg
103387.jpg;116436.jpg;069017.jpg
183649.jpg;201463.jpg;137530.jpg
043084.jpg;112067.jpg;200057.jpg
162607.jpg;017686.jpg;162963.jpg
033152.jpg;103956.jpg;143060.jpg
080875.jpg;073630.jpg;194893.jpg
181558.jpg;180722.jpg;027485.jpg
115742.jpg;002460.jpg;059199.jpg
022672.jpg;068432.jpg;059241.jpg
084968.jpg;004080.jpg;181465.jpg
179129.jpg;163916.jpg;038852.jpg
012788.jpg;162524.jpg;196612.jpg
141021.jpg;060318.jpg;157378.jpg
053367.jpg;071441.jpg;045174.jpg
118439.jpg;022967.jpg;186118.jpg
099032.jpg;021007.jpg;096250.jpg
042158.jpg;098320.jpg;008211.jpg
124711.jpg;043924.jpg;141139.jpg
111259.jpg;036596.jpg;106680.jpg
070413.jpg;159507.jpg;112962.jpg
168920.jpg;163447.jpg;079651.jpg
089109.jpg;046459.jpg;030620.jpg
143028.jpg;022153.jpg;106714.jpg
078795.jpg;105940.jpg;084314.jpg
071542.jpg;150551.jpg;177879.jpg
106198.jpg;115495.jpg;042329.jpg
177171.jpg;182581.jpg;202546.jpg
195329.jpg;194988.jpg;097726.jpg
188400.jpg;195525.jpg;014208.jpg
143057.jpg;093341.jpg;157514.jpg
151097.jpg;108589.jpg;063658.jpg
195508.jpg;186036.jpg;174224.jpg
157849.jpg;121266.jpg;078058.jpg
165356.jpg;177332.jpg;152689.jpg
012737.jpg;047776.jpg;065864.jpg
092984.jpg;110636.jpg;070687.jpg
124786.jpg;020183.jpg;170909.jpg
157649.jpg;099991.jpg;045150.jpg
192690.jpg;196288.jpg;133740.jpg
014449.jpg;053472.jpg;019741.jpg
080847.jpg;073697.jpg;149930.jpg
107146.jpg;153910.jpg;090797.jpg
058955.jpg;022889.jpg;120622.jpg
011617.jpg;080606.jpg;077173.jpg
159643.jpg;160057.jpg;109368.jpg
133846.jpg;134376.jpg;166582.jpg
171848.jpg;181767.jpg;160178.jpg
058876.jpg;135878.jpg;136583.jpg
122596.jpg;145380.jpg;010437.jpg
047665.jpg;025444.jpg;046384.jpg
046056.jpg;044449.jpg;093942.jpg
073261.jpg;035698.jpg;024252.jpg
177274.jpg;162940.jpg;190584.jpg
001871.jpg;126280.jpg;031016.jpg
103508.jpg;034136.jpg;051678.jpg
200370.jpg;189836.jpg;003563.jpg
020708.jpg;014504.jpg;037549.jpg
063271.jpg;001883.jpg;122361.jpg
125351.jpg;112444.jpg;140413.jpg
196358.jpg;198410.jpg;013993.jpg
140099.jpg;149625.jpg;144053.jpg
007059.jpg;145459.jpg;027654.jpg
009727.jpg;048261.jpg;129703.jpg
061838.jpg;140168.jpg;110834.jpg
155547.jpg;018846.jpg;031582.jpg
110064.jpg;055799.jpg;201836.jpg
106192.jpg;094305.jpg;013635.jpg
066741.jpg;062283.jpg;201145.jpg
195184.jpg;182883.jpg;115283.jpg
107779.jpg;027837.jpg;081403.jpg
046615.jpg;066144.jpg;099666.jpg
096375.jpg;130432.jpg;094597.jpg
085037.jpg;091598.jpg;174299.jpg
012045.jpg;045681.jpg;023424.jpg
037650.jpg;064105.jpg;097722.jpg
004193.jpg;022302.jpg;129526.jpg
193893.jpg;190446.jpg;112256.jpg
043139.jpg;106146.jpg;010562.jpg
171063.jpg;182016.jpg;140523.jpg
016869.jpg;061195.jpg;012988.jpg
117123.jpg;141986.jpg;009980.jpg
039949.jpg;113573.jpg;169823.jpg
050143.jpg;008418.jpg;192025.jpg
051731.jpg;020840.jpg;129142.jpg
038859.jpg;017794.jpg;140302.jpg
023593.jpg;111271.jpg;139286.jpg
130301.jpg;108945.jpg;170978.jpg
037368.jpg;050535.jpg;092535.jpg
108818.jpg;014186.jpg;171089.jpg
193584.jpg;188989.jpg;130520.jpg
127086.jpg;012497.jpg;128910.jpg
133114.jpg;117807.jpg;198340.jpg
123411.jpg;132020.jpg;063514.jpg
124817.jpg;161370.jpg;012581.jpg
046050.jpg;107629.jpg;129563.jpg
008812.jpg;089811.jpg;122616.jpg
195506.jpg;188137.jpg;119249.jpg
182822.jpg;193447.jpg;030790.jpg
001702.jpg;152274.jpg;132220.jpg
201384.jpg;189468.jpg;041950.jpg
170004.jpg;176088.jpg;184078.jpg
174236.jpg;167210.jpg;161315.jpg
009937.jpg;024789.jpg;001811.jpg
083107.jpg;024590.jpg;049847.jpg
179483.jpg;172287.jpg;146008.jpg
117729.jpg;023481.jpg;086311.jpg
128646.jpg;034708.jpg;121375.jpg
018253.jpg;120837.jpg;158704.jpg
105562.jpg;107413.jpg;190724.jpg
006309.jpg;033013.jpg;158933.jpg
058456.jpg;051724.jpg;085583.jpg
048170.jpg;128928.jpg;010620.jpg
035681.jpg;040811.jpg;192218.jpg
073633.jpg;155791.jpg;187088.jpg
139259.jpg;118736.jpg;201384.jpg
124112.jpg;020439.jpg;158298.jpg
101506.jpg;031245.jpg;065930.jpg
017776.jpg;101918.jpg;076951.jpg
133540.jpg;071449.jpg;061727.jpg
114973.jpg;131282.jpg;089230.jpg
007476.jpg;073000.jpg;022482.jpg
164347.jpg;171138.jpg;144349.jpg
178906.jpg;166506.jpg;181618.jpg
013894.jpg;078001.jpg;123195.jpg
120818.jpg;087994.jpg;183891.jpg
173422.jpg;173177.jpg;192307.jpg
186779.jpg;193995.jpg;084967.jpg
147350.jpg;097926.jpg;007001.jpg
100856.jpg;110998.jpg;087105.jpg
034381.jpg;071901.jpg;046298.jpg
129100.jpg;086683.jpg;177076.jpg
161333.jpg;041291.jpg;174941.jpg
036016.jpg;137500.jpg;048046.jpg
078662.jpg;073095.jpg;025418.jpg
063156.jpg;013085.jpg;074085.jpg
052987.jpg;112738.jpg;006058.jpg
153281.jpg;038654.jpg;151552.jpg
024346.jpg;017177.jpg;110154.jpg
114220.jpg;152686.jpg;015816.jpg
103751.jpg;104305.jpg;006054.jpg
004187.jpg;110033.jpg;043209.jpg
123111.jpg;053905.jpg;031523.jpg
122901.jpg;046101.jpg;024745.jpg
145602.jpg;093395.jpg;105889.jpg
202275.jpg;201840.jpg;023592.jpg
198962.jpg;185750.jpg;104616.jpg
033521.jpg;117835.jpg;114250.jpg
140976.jpg;057510.jpg;173949.jpg
129980.jpg;124450.jpg;068633.jpg
058906.jpg;146192.jpg;124236.jpg
185039.jpg;186096.jpg;111690.jpg
037181.jpg;018226.jpg;135285.jpg
139109.jpg;139266.jpg;125352.jpg
004834.jpg;122688.jpg;188870.jpg
000310.jpg;052571.jpg;186901.jpg
105210.jpg;129855.jpg;184675.jpg
199225.jpg;197023.jpg;134219.jpg
128684.jpg;077936.jpg;172091.jpg
066558.jpg;084908.jpg;101156.jpg
066280.jpg;159393.jpg;049814.jpg
049189.jpg;047366.jpg;004549.jpg
010917.jpg;138164.jpg;136627.jpg
129444.jpg;132866.jpg;137845.jpg
101290.jpg;001175.jpg;183667.jpg
142917.jpg;097281.jpg;151788.jpg
176246.jpg;172888.jpg;139336.jpg
039508.jpg;084447.jpg;027093.jpg
121804.jpg;058408.jpg;043975.jpg
049213.jpg;110044.jpg;134101.jpg
123788.jpg;140623.jpg;023516.jpg
156233.jpg;005166.jpg;025174.jpg
187719.jpg;192972.jpg;064951.jpg
008735.jpg;142025.jpg;017881.jpg
202400.jpg;184892.jpg;021132.jpg
164988.jpg;179174.jpg;172193.jpg
186078.jpg;195030.jpg;108924.jpg
176215.jpg;176715.jpg;078608.jpg
065330.jpg;010705.jpg;108414.jpg
057992.jpg;050019.jpg;060486.jpg
185835.jpg;200124.jpg;139862.jpg
098246.jpg;069553.jpg;081753.jpg
179170.jpg;163342.jpg;198980.jpg
108874.jpg;058802.jpg;132985.jpg
103623.jpg;082343.jpg;181137.jpg
092850.jpg;011452.jpg;120466.jpg
106083.jpg;137998.jpg;123257.jpg
177571.jpg;174481.jpg;185345.jpg
060561.jpg;070699.jpg;103840.jpg
125353.jpg;131523.jpg;063932.jpg
114488.jpg;120561.jpg;080856.jpg
128928.jpg;157904.jpg;069435.jpg
013472.jpg;025976.jpg;114887.jpg
123070.jpg;081567.jpg;179088.jpg
134594.jpg;093416.jpg;032512.jpg
103902.jpg;078845.jpg;039128.jpg
013420.jpg;148525.jpg;106066.jpg
065469.jpg;147556.jpg;188386.jpg
159938.jpg;126728.jpg;015825.jpg
018845.jpg;105007.jpg;142201.jpg
013060.jpg;074470.jpg;096889.jpg
158274.jpg;160187.jpg;057356.jpg
076732.jpg;082781.jpg;144254.jpg
086695.jpg;084682.jpg;177301.jpg
192535.jpg;194075.jpg;160295.jpg
180735.jpg;177295.jpg;143164.jpg
159688.jpg;104521.jpg;012806.jpg
080849.jpg;146475.jpg;021596.jpg
123883.jpg;099759.jpg;127572.jpg
125643.jpg;075471.jpg;175724.jpg
014982.jpg;015074.jpg;183486.jpg
152186.jpg;162498.jpg;153141.jpg
053622.jpg;133796.jpg;181336.jpg
100134.jpg;094993.jpg;178763.jpg
132683.jpg;130377.jpg;089324.jpg
073477.jpg;006061.jpg;094882.jpg
119373.jpg;106056.jpg;000116.jpg
005006.jpg;070763.jpg;176669.jpg
137254.jpg;033391.jpg;068685.jpg
098417.jpg;037815.jpg;099582.jpg
000149.jpg;082370.jpg;045929.jpg
202150.jpg;201568.jpg;077868.jpg
201148.jpg;192125.jpg;079362.jpg
153254.jpg;007939.jpg;164513.jpg
157033.jpg;056540.jpg;187657.jpg
124247.jpg;135253.jpg;167705.jpg
008922.jpg;133476.jpg;117262.jpg
055541.jpg;140007.jpg;042235.jpg
006588.jpg;098357.jpg;038692.jpg
146733.jpg;024044.jpg;116461.jpg
118648.jpg;033795.jpg;100370.jpg
133661.jpg;030164.jpg;087016.jpg
029797.jpg;117144.jpg;164557.jpg
140374.jpg;130892.jpg;190774.jpg
033110.jpg;096034.jpg;086983.jpg
202118.jpg;187376.jpg;103137.jpg
181193.jpg;176220.jpg;029030.jpg
018880.jpg;084790.jpg;083528.jpg
